연도,자동차_등록대수,버스_이용건수,지하철_이용건수,택시_이용건수
2021,3158710,1344157818,1430691108,245574300
2022,3180299,1476650050,1620682806,239960766
2023,3191538,1524180658,1773502241,193223841
2024,3187776,1582835588,1831217498,237064584
